scopus_id,doi,year,journal,title,source_id,identity,all_scopus_ids,user_clause,grouped_clause,previous_expanded,previous_candidate,previous_primary,named_designs,targeted,minimal,expanded_plus_clause,candidate_plus_clause,stratum,stratum_N,stratum_n,inclusion_probability,selection_hash,stage
85069682610,10.1016/j.polgeo.2019.102036,2019,Political Geography,"The allure of distant war drums: Refugees, geography, and foreign policy preferences in Turkey",22857,doi:10.1016/j.polgeo.2019.102036,85069682610,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,000829365eb210889381002a9b9104d61c45fe529d4d379d88bf5d5c31c02318,fixed_fulltext_evaluation
85205266377,10.1017/psrm.2024.47,2025,Political Science Research and Methods,Does interstate conflict affect attitudes towards domestic minorities? Evidence from India,21100870919,doi:10.1017/psrm.2024.47,85205266377,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,000ebf931bdbcdfb7015ad0a38a935ce7d59d19c9f7b244ebe64daf42479de8e,fixed_fulltext_evaluation
85104428601,10.1016/j.rssm.2021.100608,2021,Research in Social Stratification and Mobility,Employers’ recruitment contexts and hiring preferences in the German youth labor market,4100151507,doi:10.1016/j.rssm.2021.100608,85104428601,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,000fe00d198e1869d37332a89d041038a38c5c4de8574b84a2c69f16dc7bb311,fixed_fulltext_evaluation
85094682072,10.1177/0022002720964952,2021,Journal of Conflict Resolution,At War and at Home: The Consequences of US Women Combat Casualties,27663,doi:10.1177/0022002720964952,85094682072,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,0018bdc612d804f07552eb2eca307f5d5dfc544a2dcd7ee50738f16a9feac3f2,fixed_fulltext_evaluation
85107628562,10.1016/j.ssresearch.2021.102596,2021,Social Science Research,Expectations of trustworthiness in cross-status interactions,26441,doi:10.1016/j.ssresearch.2021.102596,85107628562,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,0023080604d43e785858868d35aace62d5af6bec490639b5a55b257804735d46,fixed_fulltext_evaluation
85100348819,10.1111/dar.13240,2021,Drug and Alcohol Review,The efficacy of health warnings and package branding on perceptions of cannabis products among youth and young adults,26382,doi:10.1111/dar.13240,85100348819,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,00252af206bbc791ebd21e6cafcd8b74feb620e8dde04dbae9db67942e45f445,fixed_fulltext_evaluation
85181820584,10.1093/poq/nfad007,2023,Public Opinion Quarterly,“Deservingness” and Public Support for Universal Public Goods: A Survey Experiment,23574,doi:10.1093/poq/nfad007,85181820584,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,0040b34ee6636ca07bae98f6c14ddc996c17f1d16f3a64fcbb11002b77287069,fixed_fulltext_evaluation
85212150786,10.1093/pnasnexus/pgae469,2024,Pnas Nexus,Using survey experiment pretesting to support future pandemic response,21101186976,doi:10.1093/pnasnexus/pgae469,85212150786,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,00594de9d82477b06ddee66a93ba01921198d28b3591f4aca8a9981eaf7ac3b0,fixed_fulltext_evaluation
84978962251,10.1080/10511253.2016.1203010,2017,Journal of Criminal Justice Education,Cheating Behaviors among Undergraduate College Students: Results from a Factorial Survey,5800179629,doi:10.1080/10511253.2016.1203010,84978962251,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,0065336e9450ad79a3ea7fb1c093cb54b1663f72f3ea15ee8da3a615edc40431,fixed_fulltext_evaluation
105028246602,10.1177/01925121251403578,2026,International Political Science Review,The causes and consequences of public misperceptions about the origins of the Russo-Ukrainian war,25833,doi:10.1177/01925121251403578,105028246602,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,007c899c170bd2c9e493f283186e32b1b3866e2b0dded98b6b7e669b3fba2890,fixed_fulltext_evaluation
85060078429,10.1016/j.erss.2019.01.007,2019,Energy Research and Social Science,Carbon or cash: Evaluating the effectiveness of environmental and economic messages on attitudes about wind energy in the United States,21100325067,doi:10.1016/j.erss.2019.01.007,85060078429,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,00885e049a5d2e045321e13974d07d6530bef01467a1394cb46768c07c94a7de,fixed_fulltext_evaluation
85114140783,10.1073/pnas.2105125118,2021,Proceedings of the National Academy of Sciences of the United States of America,Priming COVID-19 salience increases prejudice and discriminatory intent against Asians and Hispanics,21121,doi:10.1073/pnas.2105125118,85114140783,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,008b6b9754a1bf06de750b813deef9a48a6092a97097d15e25a5964c57083ca4,fixed_fulltext_evaluation
85088293543,10.1080/03623319.2020.1782636,2020,Social Science Journal,What’s in a name? An experimental test of marital name change on perceptions of female political candidates,26437,doi:10.1080/03623319.2020.1782636,85088293543,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,009c48fa60b0b58b1cd418780be6766954928a43d5f4db23f1a82e445f811755,fixed_fulltext_evaluation
85183940490,10.1016/j.jpubeco.2024.105070,2024,Journal of Public Economics,Self-signaling in voting,29009,doi:10.1016/j.jpubeco.2024.105070,85183940490,false,false,true,true,true,true,true,true,true,true,primary_only,6792,20,0.002944640753828033,009f05fa2dcf8891fd2a4163a46bcf7733182c62362cf4188dd70257cfab36cc,fixed_fulltext_evaluation
