change,scopus_id,doi,title,year,journal,source_id,in_frame,first_authid,last_authid,byline_complete,same_sentence_verified,article_context_verified,same_sentence_families,article_context_families
added,84874531907,10.1177/0093650212470688,What a Difference a Day Makes? The Effects of Repetitive and Competitive News Framing Over Time,2013,Communication Research,17649,true,26036187400,6603030334,true,false,true,,contextual_design
added,84884299663,,Cross-media integration of QR code: A preliminary exploration,2013,Journal of Electronic Commerce Research,21100210920,false,7202222682,23395982600,true,false,true,,contextual_design
added,84911898033,10.1017/S0003055414000410,The political mobilization of ethnic and religious identities in Africa,2014,American Political Science Review,15557,true,55558199100,55558199100,true,false,true,,contextual_design
added,84929747725,10.1108/EJM-04-2014-0252,"Mobile coupons: What to offer, to whom, and where?",2015,European Journal of Marketing,22199,true,56060641600,11640306300,true,false,true,,contextual_design
added,84945483077,10.1080/0267257X.2015.1033443,Investigating the consequences of word of mouth from a WOM sender’s perspective in the services context,2015,Journal of Marketing Management,19700187623,false,56605014000,6507346546,true,false,true,,contextual_design
added,84953371796,10.1016/j.foodqual.2015.12.011,"Touch forbidden, consumption allowed: Counter-intuitive effects of touch restrictions on customers' purchase behavior",2016,Food Quality and Preference,23161,true,54684879600,54684879600,true,false,true,,contextual_design
added,84979084044,10.1080/09585192.2016.1203347,Maximising the credibility of realistic job preview messages: the effect of jobseekers’ decision-making style on recruitment information credibility,2018,International Journal of Human Resource Management,24840,true,57201996608,6602784503,true,false,true,,contextual_design
added,84979619798,10.1007/s11628-016-0319-0,Aggregate consumer ratings and booking intention: the role of brand image,2017,Service Business,7000153208,false,17345221000,12753427600,true,false,true,,contextual_design
added,84981537877,10.1108/IJPDLM-02-2015-0041,The impact of environmental and social sustainability practices on sourcing behavior,2016,International Journal of Physical Distribution and Logistics Management,144922,false,35812576400,57190606861,true,true,true,contextual_design,contextual_design
added,84983493558,10.1108/PR-11-2014-0250,"An exploratory study of jobseekers’ decision-making styles, recruitment information sources and organisational attractiveness",2016,Personnel Review,63777,false,57201996608,6602784503,true,true,true,contextual_design,contextual_design
added,84996799405,10.1108/CDI-03-2016-0036,Occurrence of rating distortions and ratees’ fairness perceptions per raters’ mood and affect,2016,Career Development International,144986,true,57220380295,6602472447,true,true,true,contextual_design,contextual_design
added,85007417757,10.1016/j.jcbs.2016.11.009,Empirical advances in studying relational networks,2017,Journal of Contextual Behavioral Science,21100222556,false,57192700025,35339970700,true,false,false,,
added,85014719943,10.1037/xge0000273,Not taking responsibility: Equity trumps efficiency in allocation decisions,2017,Journal of Experimental Psychology General,15478,true,56671363300,6602602634,true,true,true,contextual_design,contextual_design
added,85015636342,10.1016/j.jbusres.2017.02.012,From conformity to reactance: Contingent role of network centrality in consumer-to-consumer influence,2017,Journal of Business Research,20550,true,57193669105,7801581983,true,false,true,,contextual_design
added,85031412182,10.1177/1938965517704533,The Warm Glow of Restaurant Checkout Charity,2017,Cornell Hospitality Quarterly,11500153401,false,36918213900,56489525500,true,true,true,contextual_design,contextual_design
added,85031682371,10.1086/692737,The physiology of framing effects: Threat sensitivity and the persuasiveness of political arguments,2017,Journal of Politics,20333,true,57188733784,7101734235,true,false,true,,contextual_design
added,85041576760,10.1080/01639625.2018.1431183,Why Should I Help You? Man Up! Bystanders’ Gender Stereotypic Perceptions of a Cyberbullying Incident,2019,Deviant Behavior,14293,true,35444997000,57200539464,true,true,true,contextual_design,contextual_design
added,85046154541,10.1016/j.indmarman.2018.04.011,"Breaching relational obligations in a buyer-supplier relationship: Feelings of violation, fairness perceptions and supplier switching",2018,Industrial Marketing Management,22792,false,57201730413,6506148364,true,true,true,contextual_design,contextual_design
added,85048868725,10.1016/j.jom.2018.06.001,Designing crowdsourced delivery systems: The effect of driver disclosure and ethnic similarity,2018,Journal of Operations Management,19169,false,56548539700,55652015500,true,true,true,contextual_design,contextual_design
added,85053665850,10.1108/EJM-09-2017-0576,Livestreaming vs pre-recorded: How social viewing strategies impact consumers’ viewing experiences and behavioral intentions,2018,European Journal of Marketing,22199,true,57203424105,43461055200,true,true,true,contextual_design,contextual_design
added,85053668115,10.1108/EJM-06-2017-0389,Effects of absence positioning of unknown product ingredients on consumer evaluations,2018,European Journal of Marketing,22199,true,25923495200,57197782502,true,false,true,,contextual_design
added,85059101974,10.1177/0305735618812216,"If it’s Mozart, it must be good? The influence of textual information and age on musical appreciation",2020,Psychology of Music,16300154722,true,51161162000,57194740920,true,true,true,contextual_design,contextual_design
added,85063438220,10.5817/CP2018-4-4,"“Do i really need to help?!"" Perceived severity of cyberbullying, victim blaming, and bystanders’ willingness to help the victim",2018,Cyberpsychology,19900192615,true,57196886614,35444997000,true,false,true,,contextual_design
added,85066882490,10.1080/09593969.2019.1611619,The impact of retailers’ sustainability and price on consumers’ responses in different cultural contexts,2019,International Review of Retail Distribution and Consumer Research,22844,false,57190606861,7101873996,true,false,true,,contextual_design
added,85068603406,10.3389/fpsyg.2019.01356,"Ethical climate(s), organizational identification, and employees' behavior",2019,Frontiers in Psychology,21100216571,true,57209748002,25422239000,true,true,true,contextual_design,contextual_design
added,85069850862,10.1016/j.jbusres.2019.07.026,Discount venture brands: Self-congruity and perceived value-for-money?,2020,Journal of Business Research,20550,true,7402604702,7202797906,true,true,true,contextual_design,contextual_design
added,85070359164,10.1108/IJLM-01-2019-0025,Supply chain transparency and willingness-to-pay for refurbished products,2019,International Journal of Logistics Management,19700201449,false,57210342894,6506148364,true,false,true,,contextual_design
added,85078665546,10.1111/ijsa.12281,Providing more or less detailed information in job advertisements—Does it matter?,2020,International Journal of Selection and Assessment,24842,false,57201996608,57201996608,true,true,true,contextual_design,contextual_design
added,85079007088,10.1108/JCM-02-2019-3101,Makeup or mask: makeup’s effect on salesperson trustworthiness,2020,Journal of Consumer Marketing,22897,false,57193827710,7003377888,true,true,true,contextual_design,contextual_design
added,85083046227,10.1108/IJBM-07-2019-0277,Combined framing effects on attitudes and behavioral intentions toward mortgage advertisements,2020,International Journal of Bank Marketing,145229,false,57216296254,15029554000,true,true,true,contextual_design,contextual_design
added,85085085634,10.1108/JSM-06-2019-0244,Driving users’ behaviours and engagement in co-creating services,2020,Journal of Services Marketing,130049,false,57203120384,52364321000,true,true,true,contextual_design,contextual_design
added,85085109813,10.1108/IJCHM-12-2019-0981,What am I tipping you for? Customer response to tipping requests at limited-service restaurants,2020,International Journal of Contemporary Hospitality Management,144742,false,57208104981,57190422771,true,false,true,,contextual_design
added,85086906996,10.1108/EJM-10-2019-0751,A signaling theory approach to relationship recovery,2020,European Journal of Marketing,22199,true,38761544400,6506008801,true,false,true,,contextual_design
added,85087706270,10.1108/JSTP-11-2019-0240,Expert cues: how expert reviewers are perceived online,2020,Journal of Service Theory and Practice,21100407241,false,57217862800,14057639400,true,true,true,contextual_design,contextual_design
added,85088706506,10.1108/JSM-03-2020-0082,The role of blocked gratitude in non-voluntary tipping,2020,Journal of Services Marketing,130049,false,57208104981,6602142819,true,true,true,contextual_design,contextual_design
added,85089589619,10.1080/00220973.2020.1799313,Praise affects the “Praiser”: Effects of ability-focused vs. effort-focused praise on motivation,2022,Journal of Experimental Education,21448,true,57218567928,37018732600,true,true,true,contextual_design,contextual_design
added,85090237733,10.15722/jds.18.8.202008.113,Product category and shopping options of logistic service quality,2020,Journal of Distribution Science,21100820055,false,57218769147,57206194216,true,false,true,,contextual_design
added,85092802418,10.1089/cyber.2019.0205,How Social Cues in Virtual Assistants Influence Concerns and Persuasion: The Role of Voice and a Human Name,2020,Cyberpsychology Behavior and Social Networking,19700176047,true,35219387600,54379790800,true,true,true,contextual_design,contextual_design
added,85096678442,10.1016/j.socec.2020.101644,Recruiting experimental subjects using WhatsApp,2021,Journal of Behavioral and Experimental Economics,21100372152,true,57220050120,57220050120,true,false,true,,contextual_design
added,85102275400,10.1016/j.aos.2021.101241,Building trust through knowledge sharing: Implications for incentive system design,2021,Accounting Organizations and Society,28094,false,57200330576,23098716300,true,true,true,contextual_design,contextual_design
added,85104452218,10.2224/SBP.9534,Effort-focused praise between friends: Effects on mindset and motivation of giver and receiver,2021,Social Behavior and Personality,14821,true,57218567928,37018732600,true,false,true,,contextual_design
added,85106252599,10.1108/EJM-05-2019-0421,Webcare as a signal: exhaustive-selective webcare strategy and brand evaluation,2021,European Journal of Marketing,22199,true,57218709570,16204282200,true,false,true,,contextual_design
added,85112397472,10.1002/mar.21575,Robots should be seen and not heard…sometimes: Anthropomorphism and AI service robot interactions,2021,Psychology and Marketing,14014,true,57190072766,36616825200,true,false,true,,contextual_design
added,85112538324,10.1108/EJM-10-2019-0788,Impact of brand anthropomorphism on ethical judgment: the roles of failure type and loneliness,2021,European Journal of Marketing,22199,true,57095918800,32367821100,true,true,true,contextual_design,contextual_design
added,85112649803,10.1080/07421222.2021.1912937,Attribution of Responsibility after Failures within Platform Ecosystems,2021,Journal of Management Information Systems,15700,true,55073274800,36091915300,true,false,true,,contextual_design
added,85115724903,10.1002/cb.1990,(Mis)managing overstock in luxury: Burning inventory and brand trust to the ground,2021,Journal of Consumer Behaviour,17700156733,true,57195426385,7003655146,true,true,true,contextual_design,contextual_design
added,85116474088,10.1108/EJM-12-2019-0883,“If only…”: customer counterfactual thinking in failed recovery,2021,European Journal of Marketing,22199,true,57795190300,55851118000,true,false,true,,contextual_design
added,85120571861,10.1177/23197145211059268,Investigating the Effectiveness of Received Offline Word of Mouth: Role of Acquired and Ascribed Homophily,2025,Fiib Business Review,21101045042,false,56605014000,57361811100,true,false,true,,contextual_design
added,85122849619,10.1504/IJDIPE.2019.099139,Effects of different types of framing in advertising messages on human decision behaviour,2019,International Journal of Diplomacy and Economy,21101072124,false,57204760372,36724157500,true,true,true,contextual_design,contextual_design
added,85124228884,10.1007/s10551-022-05045-w,How Human–Chatbot Interaction Impairs Charitable Giving: The Role of Moral Judgment,2022,Journal of Business Ethics,23859,true,50162930300,8113149300,true,false,true,,contextual_design
added,85124357445,10.1108/JSM-05-2021-0156,The effects of employee behavior in sustainable service organizations,2022,Journal of Services Marketing,130049,false,57446597000,57446414000,true,true,true,contextual_design,contextual_design
added,85129150978,10.1080/1068316X.2022.2061485,Effect of implementing security measures on fear of crime,2024,Psychology Crime and Law,14027,true,58866068700,6603303861,true,false,true,,contextual_design
added,85132577788,10.1002/ejp.1981,Effect of diagnostic labelling on management intentions for non-specific low back pain: A randomized scenario-based experiment,2022,European Journal of Pain United Kingdom,13222,true,55327196900,7101787367,true,false,true,,contextual_design
added,85133461081,10.1016/j.jretconser.2022.103059,When do AI chatbots lead to higher customer satisfaction than human frontline employees in online shopping assistance? Considering product attribute type,2022,Journal of Retailing and Consumer Services,22992,false,57219284957,31367547700,true,true,true,contextual_design,contextual_design
added,85134732855,10.1016/j.jand.2022.06.005,"Fast-Food Optimal Defaults Reduce Calories Ordered, as Well as Dietary Autonomy: A Scenario-Based Experiment",2023,Journal of the Academy of Nutrition and Dietetics,21100198495,true,57207936340,55464968100,true,false,true,,contextual_design
added,85135320477,10.1016/j.jand.2022.06.004,Visual Cues and Optimal Defaults in Fast-Food Combo Meals Benefit Health-Concerned Consumers—A Randomized Scenario-Based Experiment,2023,Journal of the Academy of Nutrition and Dietetics,21100198495,true,57207936340,55464968100,true,false,true,,contextual_design
added,85140124490,10.1002/hrm.22146,Strong signals in HR management: How the configuration and strength of an HR system explain the variability in HR attributions,2023,Human Resource Management,24718,true,57932837100,36018259700,true,true,true,contextual_design,contextual_design
added,85141942519,10.1108/EJM-10-2021-0825,The impact of the number of participants and platform transparency on prosumers’ creative performance,2022,European Journal of Marketing,22199,true,26421493200,57479282000,true,false,true,,contextual_design
added,85161422844,10.1002/cb.2194,Effectiveness of self-run vs. third-party sales channels on the consumers' purchase intention: A multi-method exploration of the moderating role of review volume,2024,Journal of Consumer Behaviour,17700156733,true,57221661728,48260983900,true,false,true,,contextual_design
added,85173057763,10.5771/0935-9915-2022-3-240,The Valuation of Social Media Voice: An Experimental Investigation,2022,Management Revue,21100389310,false,58888381000,22235264000,true,true,true,contextual_design,contextual_design
added,85173650228,10.1007/s12144-023-05269-7,The impact of evaluation modes on charitable giving: the framing effect in joint evaluation,2024,Current Psychology,13479,true,55994563500,55995736400,true,false,true,,contextual_design
added,85177584969,10.1108/IJCHM-04-2023-0495,Fostering customer-oriented constructive deviance: the influence of moral emotions and moral disengagement,2024,International Journal of Contemporary Hospitality Management,144742,false,57483816700,36494063900,true,true,true,contextual_design,contextual_design
added,85177645427,10.1080/0144929X.2023.2285943,The double-edged sword effect of chatbot anthropomorphism on customer acceptance intention: the mediating roles of perceived competence and privacy concerns,2024,Behaviour and Information Technology,12125,true,57194701773,57891683000,true,false,true,,contextual_design
added,85183168596,10.1108/INTR-06-2023-0469,Effect of consistency of the review set on causal attribution: the moderating roles of repeating purchase cues and product knowledge,2024,Internet Research,17493,true,58844402900,58823152100,true,true,true,contextual_design,contextual_design
added,85187566150,10.1016/j.jbusres.2024.114617,How reaching numerical roundness on subgoals affects the completion of superordinate goals,2024,Journal of Business Research,20550,true,25923495200,23034581700,true,false,true,,contextual_design
added,85188829196,10.1108/IJCHM-06-2023-0791,Watching performing arts encourages proenvironmental hotel choices: a moderated mediation model,2024,International Journal of Contemporary Hospitality Management,144742,false,57438049000,57205662898,true,false,true,,contextual_design
added,85189031530,10.1108/ITP-04-2023-0327,Framing beneficiary photos to elicit donations in online medical crowdfunding: through the perspectives of sympathy and deliberation,2025,Information Technology and People,130132,true,57210146064,57193441984,true,true,true,contextual_design,contextual_design
added,85189507582,10.1016/j.ipm.2024.103722,How health risk of COVID-19 resurgence may trigger individual tendencies regarding COVID-19-related cyberchondria: Investigating the I-PACE model,2024,Information Processing and Management,12689,false,56646508600,55806920700,true,true,true,contextual_design,contextual_design
added,85192140889,10.1080/1051712X.2024.2346724,Supplier pro-relational opportunism: Antecedents and effects on cooperative buyer-supplier relationships,2024,Journal of Business to Business Marketing,4700152803,false,59030829100,57199906944,true,false,true,,contextual_design
added,85192848814,10.1177/02666669241247190,Unpacking the complexities of information overload in early-stage online booking: The moderating effects of information presentation and regulatory focus,2026,Information Development,6400153106,false,58538377900,7402310934,true,true,true,contextual_design,contextual_design
added,85198643341,10.1097/BOT.0000000000002867,Surgeon Factors Rather Than Patient Factors Account for Variation in Recommended Treatment Strategy for Patients With Multiligament Knee Injury,2024,Journal of Orthopaedic Trauma,12257,false,57435962400,57201128653,true,false,true,,contextual_design
added,85199965144,10.1016/j.actpsy.2024.104429,Peer or tutor? The congruity effects of service robot role and service type on usage intention,2024,Acta Psychologica,29424,true,59239312200,57224408136,true,false,true,,contextual_design
added,85201437170,10.5435/JAAOS-D-23-00962,"Surgeon Prioritization of Mental, Social, and Pathophysiological Aspects of Health among People with Traumatic and Nontraumatic Musculoskeletal Conditions",2024,Journal of the American Academy of Orthopaedic Surgeons,15206,true,57713059000,56189963700,true,true,true,contextual_design,contextual_design
added,85202544011,10.47852/bonviewJCCE32021576,"The Impact of Color, Content, and Feeling of Empathy on Website Visitors’ Intentions to Support an NPO: The Moderated Mediation Role of Need for Social Status",2024,Journal of Computational and Cognitive Engineering,21101208643,false,59304244300,57210819455,true,true,true,contextual_design,contextual_design
added,85203256934,10.1177/00472875241275945,Understanding AI-Generated Experiments in Tourism: Replications Using GPT Simulations,2025,Journal of Travel Research,14813,false,57202504170,59316283200,true,false,true,,contextual_design
added,85203998853,10.1080/09669582.2024.2402782,"How does destination social responsibility impact residents’ quality of life? The mechanisms of disclosure entity, communal relationship, and perceived warmth",2025,Journal of Sustainable Tourism,14811,false,36443140300,57203503458,true,false,true,,contextual_design
added,85204783150,10.1016/j.annals.2024.103843,Nudging with colors to promote electric vehicle rentals,2024,Annals of Tourism Research,30718,true,57214229482,59341138500,true,true,true,contextual_design,contextual_design
added,85208805546,10.1057/s41299-024-00204-3,"Dyadic Reputations, Images, and Credibility: The Shared Nature of Intangible Resources in Buyer–Supplier Relationships",2024,Corporate Reputation Review,17700156775,false,57195426931,57195426385,true,true,true,contextual_design,contextual_design
added,85210032259,10.1002/casp.70014,"The Political Glass Cliff: When Ethnic, Racial and Immigration Minority Participants Choose Minority Candidates for Hard-To-Win Seats",2024,Journal of Community and Applied Social Psychology,15429,true,57190373576,22951426700,true,false,true,,contextual_design
added,85210225902,10.3390/admsci14110283,Can Corporate Social Responsibility Shift Consumer Behavior? Insights from Scenario-Based Experiment in the Fast Fashion Industry,2024,Administrative Sciences,21101043277,false,55905939400,59425350000,true,false,true,,contextual_design
added,85210451525,10.1108/EJM-11-2022-0827,How customers respond to chatbot anthropomorphism: the mediating roles of perceived humanness and perceived persuasiveness,2024,European Journal of Marketing,22199,true,59070334600,57824110500,true,true,true,contextual_design,contextual_design
added,85210631189,10.1016/j.ijhm.2024.104030,Unpacking the impact of AI vs. human-generated review summary on hotel booking intentions,2025,International Journal of Hospitality Management,28686,false,57218452650,56586376800,true,true,true,contextual_design,contextual_design
added,85211024346,10.1016/j.ijhm.2024.104028,"Human-robot collaboration in service recovery: Examining apology styles, comfort emotions, and customer retention",2025,International Journal of Hospitality Management,28686,false,57194474814,35609089100,true,true,true,contextual_design,contextual_design
added,85212238714,10.1108/TR-04-2024-0253,Vertical or horizontal? The interaction between frame orientation formats and visual content in tourism short videos,2025,Tourism Review,21100248909,false,56578859500,57209942380,true,false,true,,contextual_design
added,85214081356,10.1108/JCM-03-2024-6691,Social media disclosure: maximizing versus satisficing effects on default preferences,2025,Journal of Consumer Marketing,22897,false,35301535500,55476043600,true,true,true,contextual_design,contextual_design
added,85215991849,10.1108/TR-07-2024-0618,Motivating social media sharing of food user-generated content on Instagram: how incentives drive social commerce,2026,Tourism Review,21100248909,false,57831676100,57202504170,true,true,true,contextual_design,contextual_design
added,85217030243,10.3724/SP.J.1041.2025.0447,The influence of the growth mindset of socioeconomic status on academic and career engagement among college students,2025,Acta Psychologica Sinica,21100943507,false,59511684800,59527401600,true,false,true,,contextual_design
added,85217042951,10.1080/02642069.2025.2460597,"To whom does service robot anthropomorphism appeal? The roles of customer social context, power, and perceived social connectedness",2026,Service Industries Journal,24928,true,57210246950,59544670500,true,true,true,contextual_design,contextual_design
added,85217930552,10.1016/j.jretconser.2025.104249,The use of (non)exotic leathers by (non)favourite luxury brands: An attachment theory perspective,2025,Journal of Retailing and Consumer Services,22992,false,57195426385,57195426931,true,true,true,contextual_design,contextual_design
added,85218185895,10.3389/frai.2024.1465605,Factors influencing trust in algorithmic decision-making: an indirect scenario-based experiment,2024,Frontiers in Artificial Intelligence,21101062817,true,31767581800,58098065100,true,false,true,,contextual_design
added,105002140512,10.1108/IJCHM-05-2024-0718,Enhancing eWOM effectiveness: the interplay of endorsement styles and emoji in digital persuasion,2025,International Journal of Contemporary Hospitality Management,144742,false,57579795900,57208158189,true,true,true,contextual_design,contextual_design
added,105002148933,10.1016/j.chb.2025.108665,“Their privacy matters too!” A self-other calculus perspective on disclosure of others’ information on social media: The influence of relationship closeness and affect,2025,Computers in Human Behavior,19419,true,59092133100,56359276400,true,true,true,contextual_design,contextual_design
added,105002671820,10.47368/ejhc.2024.104,"When Online and Offline Environments Meet Auditory and Visual Environmental Factors, Privacy Concerns, and Self-Disclosure in Video Consultations",2024,European Journal of Health Communication,21101288814,false,49862662400,23090485700,true,false,true,,contextual_design
added,105003583469,10.3390/bs15040534,"Consumer Autonomy in Generative AI Services: The Role of Task Difficulty and AI Design Elements in Enhancing Trust, Satisfaction, and Usage Intention",2025,Behavioral Sciences,21100901748,true,59753780600,57209269394,true,true,true,contextual_design,contextual_design
added,105004674980,10.1111/1911-3846.13045,The effects of relative performance information on subsequent cooperation,2025,Contemporary Accounting Research,29113,false,57226417706,57226417706,true,false,true,,contextual_design
added,105005147981,10.1097/HMR.0000000000000445,Mitigating patients' negative responses to health care asset sharing through explanatory information provision,2025,Health Care Management Review,13382,true,59169334500,7202797906,true,true,true,contextual_design,contextual_design
added,105005545864,10.1002/hrm.22311,"Family Highs, Career Ties: The Benefits of Family-To-Work Enrichment for Work Promotion Focus, Networking, and Career Opportunities",2025,Human Resource Management,24718,true,59904762000,55917320200,true,false,true,,contextual_design
added,105009462482,10.1016/j.jhtm.2025.101301,"Does your destination have the right logo? A story of circularity versus angularity, destination stereotype, perceived fit, and fluency",2025,Journal of Hospitality and Tourism Management,21100255484,false,57210246950,13606837900,true,true,true,contextual_design,contextual_design
added,105009473077,10.1080/09669582.2025.2523914,Face matters: leveraging service robots for promoting travelers’ high-effort pro-environmental intentions,2026,Journal of Sustainable Tourism,14811,false,57195525557,56498325900,true,true,true,contextual_design,contextual_design
added,105009700524,10.1016/j.jhtm.2025.101307,The role of internet of things in shaping hotel booking intentions: A mixed-method investigation of customer perceptions and preferences,2025,Journal of Hospitality and Tourism Management,21100255484,false,57207300937,58538347400,true,true,true,contextual_design,contextual_design
added,105010285430,10.1038/s43588-025-00840-7,A large-scale replication of scenario-based experiments in psychology and management using large language models,2025,Nature Computational Science,21101076096,true,59983500400,59177929400,true,false,true,,contextual_design
