focal_author_name,scopus_id,doi,title,year,first_or_last,byline_complete,specific_clause,grouped_clause,previous_primary,previous_candidate,targeted,primary_plus_specific,broad_plus_specific
Jay J. Van Bavel,80053487333,10.1162/jocn_a_00016,Modulation of the fusiform face area following minimal exposure to motivationally relevant faces: Evidence of in-group enhancement (not out-group disregard),2011,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,82155166386,10.1002/ejsp.844,Is identifying with a historically victimized group good or bad for your health? Transgenerational post-traumatic stress and collective victimization,2011,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84858074376,10.1016/j.jesp.2012.01.006,Motivated social memory: Belonging needs moderate the own-group bias in face recognition,2012,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84859764030,10.1016/j.biopsycho.2012.02.012,From the heart to the mind's eye: Cardiac vagal tone is related to visual perception of fearful faces at high spatial frequency,2012,false,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84860291182,10.1037/a0028528,Cardiac vagal tone predicts inhibited attention to fearful faces,2012,false,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84862007086,10.1177/0146167212442228,See Your Friends Close and Your Enemies Closer: Social Identity and Identity Threat Shape the Representation of Physical Distance,2012,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84864085599,10.3389/fnhum.2012.00140,Rapid social perception is flexible: Approach and avoidance motivational states shape P100 responses to other-race faces,2012,false,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84865753809,10.1016/j.cognition.2012.07.007,The flexibility of emotional attention: Accessible social identities guide rapid attentional orienting,2012,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84870186150,10.1177/0146167212455829,"A Social Identity Approach to Person Memory: Group Membership, Collective Identification, and Social Role Shape Attention and Memory",2012,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84870328573,10.1371/journal.pone.0048693,"The Importance of Moral Construal: Moral versus Non-Moral Construal Elicits Faster, More Extreme, Universal Evaluations of the Same Actions",2012,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84874703458,10.1111/psyp.12029,Cardiac vagal tone is correlated with selective attention to neutral distractors under load,2013,false,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84876448596,10.1371/journal.pone.0059837,"""Not for All the Tea in China!"" Political Ideology and the Avoidance of Dissonance-Arousing Situations",2013,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84883219308,10.1037/a0032971,Cardiac vagal tone predicts attentional engagement to and disengagement from fearful faces,2013,false,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84884709422,10.1016/j.jesp.2013.05.009,On the ideology of hypodescent: Political conservatism predicts categorization of racially ambiguous faces as Black,2013,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84885781156,10.1093/scan/nss063,Is race erased? decoding race from patterns of neural activity when skin color is not diagnostic of group boundaries,2013,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84891357495,10.1016/j.jesp.2013.12.001,"Group membership alters the threshold for mind perception: The role of social identity, collective identification, and intergroup threat",2014,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84892887140,10.1111/pops.12162,Political neuroscience: The beginning of a beautiful friendship,2014,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84895151533,10.1093/scan/nss138,Dynamic representations of race: Processing goals shape race decoding in the Fusiform gyri,2014,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84898043092,10.1111/psyp.12186,When tonic cardiac vagal tone predicts changes in phasic vagal tone: The role of fear and perceptual load,2014,false,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84899873860,10.1177/1745691614527464,The Neuroscience of Intergroup Relations: An Integrative Review,2014,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84903884979,10.1016/j.jesp.2014.06.007,Their pain gives us pleasure: How intergroup dynamics shape empathic failures and counter-empathic responses,2014,false,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84921513222,10.1016/j.cognition.2014.02.007,The moral pop-out effect: Enhanced perceptual awareness of morally relevant stimuli,2014,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84921852429,10.1038/ncomms6306,Fairness violations elicit greater punishment on behalf of another than for oneself,2014,false,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84924201140,10.1162/jocn_a_00756,Valence asymmetries in the human amygdala: Task relevance modulates amygdala responses to positive more than negative affective cues,2015,false,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84933671239,,Rapid social perception is flexible: Approach and avoidance motivational states shape P100 responses to other-race faces,2012,false,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84973316189,10.1073/pnas.1521897113,Contextual sensitivity in scientific reproducibility,2016,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84977144634,10.1016/j.jesp.2015.10.001,The pipeline project: Pre-publication independent replications of a single laboratory's research pipeline,2016,false,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84982684465,10.1371/journal.pone.0159792,Proximity under threat: The role of physical distance in intergroup relations,2016,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84987605385,10.1037/xge0000190,Reflexive intergroup bias in third-party punishment,2016,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84990990322,10.1371/journal.pone.0161426,Social groups prioritize selective attention to faces: How social identity shapes distractor interference,2016,false,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84991111172,10.1038/sdata.2016.82,Data from a pre-publication independent replication initiative examining ten moral judgement effects,2016,false,true,false,false,false,true,false,false,true
Jay J. Van Bavel,84992108959,10.1080/1047840X.2016.1199221,Perceiving the World Through Group-Colored Glasses: A Perceptual Model of Intergroup Relations,2016,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84994012315,10.1038/srep34979,Swiss identity smells like chocolate: Social identity shapes olfactory judgments,2016,true,true,false,false,false,false,false,false,false
Jay J. Van Bavel,84996538200,10.1093/scan/nsw077,At the heart of morality lies neuro-visceral integration: Lower cardiac vagal tone predicts utilitarian moral judgment,2016,true,true,false,false,false,false,false,false,false
