scopus_id,identity,doi,title,year,journal,article_url,current_geography,credited_author_ids,credited_researchers,n_credited_pool_authors,n_top50_total_authors,n_top50_us_authors,n_total_leaders_including_cutoff_ties,top50_tied_pairs_broken_if_us,top50_new_ties_if_us,leader114_tied_pairs_broken_if_us,leader114_new_ties_if_us,pool120_tied_pairs_broken_if_us,pool120_new_ties_if_us,maximum_current_us_count,minimum_current_total_rank,available_historical_inbox_pdf,user_download_status,existing_followup,prior_automatic_acquisition_status,latest_priority_round_status,prior_open_location_url,review_action,interpretation,new_top50_tied_pairs_covered_at_selection,queue_position,download_batch
105033016908,doi:10.1177/10778012261422244,10.1177/10778012261422244,"Morality and the Social Perception of Intimate Partner Violence (IPV): Women's Attributions of Prototypicality to, and Social Distancing Toward, the Victim",2026,Violence Against Women,https://doi.org/10.1177/10778012261422244,unclear,25422239000,Pagliaro S.,1,1,0,1,19,14,19,14,19,14,0,33,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,19,1,1
84872322437,SCOPUS_ID:84872322437,,Why commuting is no perfect solution: Preferences for different mobility forms in dual career couples,2012,Zeitschrift Fur Familienforschung,https://www.scopus.com/record/display.uri?eid=2-s2.0-84872322437,unclear,17345249500,Martin Abraham,1,1,0,1,19,14,19,14,19,14,0,38,false,,,manual_download_needed,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,18,2,1
84894591630,doi:10.1080/00224545.2013.872595,10.1080/00224545.2013.872595,With a little help from my friends: Bystander context and children's attitude toward peer helping,2014,Journal of Social Psychology,https://doi.org/10.1080/00224545.2013.872595,unclear,7006059165,Maykel Verkuyten,1,1,0,1,19,14,19,14,19,14,0,10,false,,,manual_download_needed,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,17,3,1
84907487526,doi:10.1016/j.ssresearch.2014.08.017,10.1016/j.ssresearch.2014.08.017,Three experimental approaches to measure the social context dependence of prejudice communication and discriminatory behavior,2015,Social Science Research,https://doi.org/10.1016/j.ssresearch.2014.08.017,unclear,23982874600,Ulf Liebe,1,1,0,1,19,14,19,14,19,14,0,38,false,,,manual_download_needed,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,16,4,1
85125126673,doi:10.1016/j.vaccine.2022.02.033,10.1016/j.vaccine.2022.02.033,The correlates and dynamics of COVID-19 vaccine-specific hesitancy,2022,Vaccine,https://doi.org/10.1016/j.vaccine.2022.02.033,unclear,15757402700|57201338729,Peter John Loewen; Merkley E.,2,0,0,2,16,6,24,24,24,26,1,53,false,,,manual_download_needed,,https://www.ncbi.nlm.nih.gov/pmc/articles/8850099,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,16,5,1
85110788543,doi:10.1080/10967494.2021.1948468,10.1080/10967494.2021.1948468,Defending your public kin: public sector identification and street-level bureaucrats’ perceptions of performance,2022,International Public Management Journal,https://doi.org/10.1080/10967494.2021.1948468,unclear,57203170141,Niels Bjørn Grund Petersen,1,1,0,1,19,14,19,14,19,14,0,3,false,user_unavailable,,manual_download_needed,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,15,6,1
85113817293,doi:10.1111/imig.12916,10.1111/imig.12916,The effects of negative and positive information on attitudes towards immigration,2022,International Migration,https://doi.org/10.1111/imig.12916,unclear,55091186500,Yoshikuni Ono,1,1,0,1,19,14,19,14,19,14,0,16,false,,,manual_download_needed,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,14,7,1
85158001358,doi:10.1111/padm.12932,10.1111/padm.12932,Promoting Citizens' willingness to participate in coproduction in public service through information frames,2024,Public Administration,https://doi.org/10.1111/padm.12932,unclear,57191360465,Jinfeng Zhang,1,1,0,1,19,14,19,14,19,14,0,38,false,,,manual_download_needed,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/padm.12932,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,13,8,1
84918780367,doi:10.1080/14719037.2013.798027,10.1080/14719037.2013.798027,Benchmarks and Citizen Judgments of Local Government Performance: Findings from a survey experiment,2015,Public Management Review,https://doi.org/10.1080/14719037.2013.798027,unclear,7003787305,Gregg G. Van Ryzin,1,1,1,1,11,10,11,10,11,10,7,10,false,,,manual_download_needed,awaiting_alternative_copy,,"Await an alternative manuscript or lawful copy; user cannot obtain Taylor & Francis papers, so do not repeat the publisher download request",Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,11,9,1
105019779764,doi:10.1177/00323217251382336,10.1177/00323217251382336,Public Budget Cuts: Political Communication Strategies and Citizen Reactions,2025,Political Studies,https://doi.org/10.1177/00323217251382336,unclear,25224644900,Rasmus Tue Pedersen,1,1,0,1,13,13,13,12,13,13,1,5,false,,,manual_download_needed,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,11,10,1
