scopus_id,url,discovered_via,checked_on
84943199945,https://faculty.wcas.northwestern.edu/jnd260/pub/Bolsen%20Druckman%20JComm%202015.pdf,primary_author_website,2026-09-09
84891492083,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1901608,author_deposited_SSRN_working_paper,2026-09-09
84992341283,https://repository.essex.ac.uk/17736/,institutional_repository,2026-09-09
86000435450,https://www.vive.dk/en/publications/deservingness-at-the-frontline-yz21p61v/,institutional_publication_page,2026-09-09
85202761631,https://d-nb.info/1348525924/34,institutional_open_copy,2026-09-09
85202761631,https://cape.ucmerced.edu/sites/cape.ucmerced.edu/files/documents/ballot_box_representation.pdf,institutional_open_copy,2026-09-09
85112464435,https://openresearch-repository.anu.edu.au/bitstreams/01ebfb1a-9f8b-4965-8e13-f6ec852098f6/download,institutional_open_copy,2026-09-09
84901037027,https://faculty.wcas.northwestern.edu/jnd260/pub/Bolsen%20Druckman%20Cook%20PBehavior%202013.pdf,primary_author_website,2026-09-09
85012122035,https://faculty.wcas.northwestern.edu/jnd260/pub/The%20Generalizability%20of%20Survey%20Experiments.pdf,primary_author_website,2026-09-09
85074603977,https://dbc.library.uu.nl/bitstream/handle/1874/407895/Technology_use_and_norm_change_in_online_privacy_experimental_evidence_from_vignette_studies.pdf?isAllowed=y&sequence=1,institutional_open_copy,2026-09-09
85103049149,https://ide.mit.edu/sites/default/files/publications/Pennycook%20et%20al%20-%20Shifting%20attention%20to%20accuracy.pdf,institutional_open_copy,2026-09-09
85034662474,https://www.asc.upenn.edu/sites/default/files/2021-03/Ratio%20Bias%20and%20Policy%20Preferences-%20How%20Equivalency%20Framing%20of%20Numbers%20Can%20Affect%20Attitudes.pdf,institutional_open_copy,2026-09-09
84977676153,https://pure.au.dk/ws/files/119801786/Causes_of_fiscal_illusion_Accepted_manuscript_2016.pdf,institutional_open_copy,2026-09-09
85046645518,https://research.cbs.dk/en/publications/politicians-appear-more-competent-when-using-numerical-rhetoric/,institutional_open_copy,2026-09-09
85029279527,https://eprints.whiterose.ac.uk/126199/1/sanctionexperiment_isq.pdf,Targeted primary author/repository search for top-50 tie priorities,2026-09-09
85046533072,https://jkertzer.sites.fas.harvard.edu/Research_files/Brutger%20and%20Kertzer%202018.pdf,Targeted primary author/repository search for top-50 tie priorities,2026-09-09
85066605513,https://eoperez.com/wp-content/uploads/2021/12/perez-and-tavits.-language-heightens-salience-of-ethnic-divisions.pdf,Targeted primary author/repository search for top-50 tie priorities,2026-09-09
105008461820,https://pmc.ncbi.nlm.nih.gov/articles/PMC12166975/,Targeted primary author/repository search for top-50 tie priorities,2026-09-09
