variant,authid,identity,scopus_id,credited_scopus_id,first,last,sole
current_raw,6602110388,doi:10.1016/j.gloenvcha.2013.01.001,84878013138,84878013138,true,false,false
current_raw,6602110388,doi:10.1016/j.envsci.2015.07.010,84938946159,84938946159,true,false,false
current_raw,6602110388,doi:10.1016/j.gloenvcha.2016.06.001,84975459634,84975459634,true,false,false
current_raw,6602110388,doi:10.1038/nclimate2948,84975789795,84975789795,true,false,false
current_raw,6602110388,doi:10.1080/09644016.2016.1244964,84992341283,84992341283,false,true,false
current_raw,6602110388,doi:10.1088/1748-9326/11/11/114001,85003864913,85003864913,false,true,false
current_raw,6602110388,doi:10.17645/pag.v4i3.650,85016025310,85016025310,true,false,false
current_raw,6602110388,doi:10.1038/s41558-019-0414-z,85062085474,85062085474,false,true,false
current_raw,6602110388,doi:10.1007/s11558-019-09354-0,85064636420,85064636420,true,false,false
current_raw,6602110388,doi:10.1080/09644016.2019.1629171,85067680513,85067680513,false,true,false
current_raw,6602110388,doi:10.1080/14693062.2020.1736490,85082430134,85082430134,false,true,false
current_raw,6602110388,doi:10.1080/13501763.2020.1751244,85083863861,85083863861,false,true,false
current_raw,6602110388,doi:10.1016/j.gloenvcha.2021.102266,85103645348,85103645348,false,true,false
current_raw,6602110388,doi:10.1016/j.gloenvcha.2021.102226,85104056574,85104056574,false,true,false
current_raw,6602110388,doi:10.1080/03050629.2021.1898957,85104712462,85104712462,false,true,false
current_raw,6602110388,doi:10.1162/glep_a_00607,85112464435,85112464435,false,true,false
current_raw,6602110388,doi:10.1088/1748-9326/ac3531,85120781136,85120781136,false,true,false
current_raw,6602110388,doi:10.1162/glep_a_00612,85124196620,85124196620,false,true,false
current_raw,6602110388,doi:10.1038/s43016-022-00460-8,85124455446,85124455446,false,true,false
current_raw,6602110388,doi:10.1038/s41893-022-00984-8,85141374427,85141374427,false,true,false
current_raw,6602110388,doi:10.1016/j.envsci.2023.04.019,85159235309,85159235309,false,true,false
current_raw,6602110388,doi:10.1017/s0007123422000175,85159334579,85159334579,false,true,false
current_raw,6602110388,doi:10.1093/isq/sqac060,85159582567,85159582567,false,true,false
current_raw,6602110388,doi:10.1086/727594,85179742651,85179742651,false,true,false
current_raw,6602110388,doi:10.1016/j.ecolecon.2023.108102,85182577401,85182577401,false,true,false
current_raw,6602110388,doi:10.1038/s41467-024-45399-5,85187132462,85187132462,false,true,false
current_raw,6602110388,doi:10.1371/journal.pclm.0000297,85188598133,85188598133,false,true,false
current_raw,6602110388,doi:10.1088/1748-9326/ad6781,85202949339,85202949339,false,true,false
current_raw,6602110388,doi:10.1016/j.tranpol.2024.08.016,85203879255,85203879255,false,true,false
current_raw,6602110388,doi:10.1080/13501763.2024.2413458,85206976729,85206976729,false,true,false
current_raw,6602110388,doi:10.1007/s11109-025-10047-1,105006801172,105006801172,false,true,false
current_raw,6602110388,doi:10.1080/14693062.2026.2648069,105034645576,105034645576,true,false,false
current_raw,6602110388,doi:10.1016/j.spc.2026.04.008,105037769935,105037769935,false,true,false
current_raw,6602110388,doi:10.1162/glep.a.776,105043534448,105043534448,false,true,false
current_raw,12767146800,doi:10.1093/poq/nfs048,84870179613,84870179613,true,false,false
current_raw,12767146800,doi:10.1017/s0022381613001448,84897075398,84897075398,true,false,false
current_raw,12767146800,doi:10.1177/0022002713492638,84907224950,84907224950,true,false,false
current_raw,12767146800,doi:10.1111/psq.12115,84946070200,84946070200,true,true,true
current_raw,12767146800,doi:10.1177/1369148116632181,84978906427,84978906427,true,false,false
current_raw,12767146800,doi:10.1111/ajps.12262,84995578409,84995578409,false,true,false
current_raw,12767146800,doi:10.1177/1075547016688325,85014593137,85014593137,false,true,false
current_raw,12767146800,doi:10.1111/ajps.12298,85014649599,85014649599,false,true,false
current_raw,12767146800,doi:10.1016/j.enpol.2017.03.002,85014922403,85014922403,false,true,false
current_raw,12767146800,doi:10.1177/0738894215611133,85040085886,85040085886,true,false,false
current_raw,12767146800,doi:10.1177/1369148117745860,85041625323,85041625323,true,true,true
current_raw,12767146800,doi:10.1111/psq.12392,85073310147,85073310147,false,true,false
current_raw,12767146800,doi:10.1126/sciadv.abd4563,85094221120,85094221120,false,true,false
current_raw,12767146800,doi:10.1111/psq.12687,85096943476,85096943476,false,true,false
current_raw,12767146800,doi:10.1016/j.enpol.2020.112098,85099406266,85099406266,false,true,false
current_raw,12767146800,doi:10.1016/j.vaccine.2022.02.083,85125698803,85125698803,false,true,false
current_raw,12767146800,doi:10.1371/journal.pone.0265011,85127254828,85127254828,false,true,false
current_raw,12767146800,doi:10.1093/poq/nfab075,85127581823,85127581823,false,true,false
current_raw,12767146800,doi:10.1093/jogss/ogac017,85136722514,85136722514,false,true,false
current_raw,12767146800,doi:10.1111/1475-6765.12644,85179678265,85179678265,false,true,false
current_raw,12767146800,doi:10.1093/jleo/ewaf005,105042603565,105042603565,false,true,false
current_raw,57203170141,doi:10.1093/jopart/muy035,85062262291,85062262291,true,false,false
current_raw,57203170141,doi:10.1017/s0007123417000084,85067407501,85067407501,false,true,false
current_raw,57203170141,doi:10.1080/14719037.2019.1668469,85074029219,85074029219,true,true,true
current_raw,57203170141,doi:10.1080/10967494.2019.1699214,85076524004,85076524004,true,true,true
current_raw,57203170141,doi:10.1093/jopart/muaa008,85087880256,85087880256,true,true,true
current_raw,57203170141,doi:10.1080/15309576.2020.1817109,85091181242,85091181242,true,true,true
current_raw,57203170141,doi:10.1111/puar.13297,85092586367,85092586367,false,true,false
current_raw,57203170141,doi:10.1080/10967494.2021.1948468,85110788543,85110788543,false,true,false
current_raw,57203170141,doi:10.1093/jopart/muac020,85174613687,85174613687,false,true,false
current_raw,57203170141,doi:10.1111/puar.13800,85186919352,85186919352,false,true,false
current_raw,57203170141,doi:10.1017/xps.2024.20,85214572618,85214572618,false,true,false
current_raw,57203170141,doi:10.1111/padm.13004,86000435450,86000435450,false,true,false
current_raw,57203170141,doi:10.1111/1475-6765.12724,105002152711,105002152711,true,false,false
current_raw,57203170141,doi:10.1177/20531680251363650,105024555682,105024555682,true,false,false
