authid,name,current_all_count,current_all_rank,current_all_position,current_us_count,current_us_rank,current_us_position,current_pool_count,current_pool_rank,current_pool_position,current_unclear,current_unreviewed,current_us_upper,full_all_count,full_all_rank,full_all_position,full_us_count,full_us_rank,full_us_position,full_pool_count,full_pool_rank,full_pool_position,full_unclear,full_unreviewed,full_us_upper,narrow_all_count,narrow_all_rank,narrow_all_position,narrow_us_count,narrow_us_rank,narrow_us_position,narrow_pool_count,narrow_pool_rank,narrow_pool_position,narrow_unclear,narrow_unreviewed,narrow_us_upper
6504647839,Decuypere A.,1,2190,2199,,,,,,,,,,1,2703,2716,0,510,2902,,,,0,0,0,1,2652,2665,0,506,2847,,,,0,0,0
6504713225,Barigozzi F.,1,2190,2200,,,,,,,,,,1,2703,2717,0,510,2903,,,,0,1,1,1,2652,2666,0,506,2848,,,,0,1,1
6505777923,Franchino F.,2,984,986,,,,,,,,,,2,1170,1173,0,510,1451,,,,0,2,2,2,1164,1167,0,506,1441,,,,0,2,2
6505784617,Torcal M.,2,984,987,,,,,,,,,,2,1170,1174,0,510,1452,,,,0,2,2,2,1164,1168,0,506,1442,,,,0,2,2
6505791820,Zouridis S.,1,2190,2201,,,,,,,,,,1,2703,2718,0,510,2904,,,,0,1,1,1,2652,2667,0,506,2849,,,,0,1,1
6505792950,Brader T.,2,984,988,,,,,,,,,,2,1170,1175,0,510,1453,,,,0,2,2,2,1164,1169,0,506,1443,,,,0,2,2
6505804802,Ponnet K.,1,2190,2202,,,,,,,,,,1,2703,2719,0,510,2905,,,,0,1,1,1,2652,2668,0,506,2850,,,,0,1,1
6505807414,Bulling A.,1,2190,2203,,,,,,,,,,1,2703,2720,0,510,2906,,,,0,1,1,1,2652,2669,0,506,2851,,,,0,1,1
6505807840,van Anders S.M.,0,,,,,,,,,,,,1,2703,2721,0,510,2907,,,,0,1,1,1,2652,2670,0,506,2852,,,,0,1,1
6505846340,Sellnow T.L.,0,,,,,,,,,,,,1,2703,2722,0,510,2908,,,,0,1,1,1,2652,2671,0,506,2853,,,,0,1,1
6505868314,Dolnicar S.,5,166,166,,,,,,,,,,6,115,115,0,510,530,,,,0,6,6,6,115,115,0,506,526,,,,0,6,6
6505869891,Grabner-Kräuter S.,0,,,,,,,,,,,,1,2703,2723,0,510,2909,,,,0,1,1,1,2652,2672,0,506,2854,,,,0,1,1
6505870464,Kadivar H.,0,,,,,,,,,,,,2,1170,1176,0,510,1454,,,,0,2,2,2,1164,1170,0,506,1444,,,,0,2,2
6505880640,Rockloff M.J.,0,,,,,,,,,,,,1,2703,2724,0,510,2910,,,,0,1,1,0,,,0,,,,,,0,0,0
6505902304,Stenstrom D.,0,,,,,,,,,,,,2,1170,1177,0,510,1455,,,,0,2,2,2,1164,1171,0,506,1445,,,,0,2,2
6505910383,Michael Tomz,7,67,67,5,40,40,5,42,44,1,0,6,7,83,83,5,43,47,5,43,47,1,0,6,7,83,83,5,43,47,5,43,47,1,0,6
6505912362,St-Amour P.,1,2190,2204,,,,,,,,,,1,2703,2725,0,510,2911,,,,0,1,1,1,2652,2673,0,506,2855,,,,0,1,1
6505914903,Marette S.,0,,,,,,,,,,,,1,2703,2726,0,510,2912,,,,0,1,1,1,2652,2674,0,506,2856,,,,0,1,1
6505942728,Zamarro G.,1,2190,2205,,,,,,,,,,0,,,0,,,,,,0,0,0,0,,,0,,,,,,0,0,0
6505943995,Cassino D.,1,2190,2206,,,,,,,,,,1,2703,2727,0,510,2913,,,,0,1,1,1,2652,2675,0,506,2857,,,,0,1,1
6505952696,Manzano García G.,0,,,,,,,,,,,,1,2703,2728,0,510,2914,,,,0,1,1,1,2652,2676,0,506,2858,,,,0,1,1
6505957239,Flavián C.,0,,,,,,,,,,,,1,2703,2729,0,510,2915,,,,0,1,1,1,2652,2677,0,506,2859,,,,0,1,1
6505965176,Sheringham J.,1,2190,2207,,,,,,,,,,1,2703,2730,0,510,2916,,,,0,1,1,1,2652,2678,0,506,2860,,,,0,1,1
6506008801,Pullig C.,0,,,,,,,,,,,,1,2703,2731,0,510,2917,,,,0,1,1,1,2652,2679,0,506,2861,,,,0,1,1
6506018677,Kuusisto H.,1,2190,2208,,,,,,,,,,1,2703,2732,0,510,2918,,,,0,1,1,1,2652,2680,0,506,2862,,,,0,1,1
6506033030,Aardal B.,1,2190,2209,,,,,,,,,,1,2703,2733,0,510,2919,,,,0,0,0,1,2652,2681,0,506,2863,,,,0,0,0
6506037678,Moyano-Díaz E.,1,2190,2210,,,,,,,,,,1,2703,2734,0,510,2920,,,,0,1,1,1,2652,2682,0,506,2864,,,,0,1,1
6506070961,Mageau G.A.,1,2190,2211,,,,,,,,,,1,2703,2735,0,510,2921,,,,0,1,1,1,2652,2683,0,506,2865,,,,0,1,1
6506090416,Nijstad B.,1,2190,2212,,,,,,,,,,1,2703,2736,0,510,2922,,,,0,1,1,1,2652,2684,0,506,2866,,,,0,1,1
6506138853,van Swol L.M.,0,,,,,,,,,,,,1,2703,2737,0,510,2923,,,,0,1,1,1,2652,2685,0,506,2867,,,,0,1,1
6506216106,Eifler S.,2,984,989,,,,,,,,,,2,1170,1178,0,510,1456,,,,0,2,2,2,1164,1172,0,506,1446,,,,0,2,2
6506217442,Lopoo L.,1,2190,2213,,,,,,,,,,1,2703,2738,0,510,2924,,,,0,1,1,1,2652,2686,0,506,2868,,,,0,1,1
6506223338,Piquero N.,1,2190,2214,,,,,,,,,,1,2703,2739,0,510,2925,,,,0,1,1,1,2652,2687,0,506,2869,,,,0,1,1
6506245937,Stocklmayer S.,1,2190,2215,,,,,,,,,,1,2703,2740,0,510,2926,,,,0,1,1,1,2652,2688,0,506,2870,,,,0,1,1
6506256777,Ruthig J.C.,0,,,,,,,,,,,,1,2703,2741,0,510,2927,,,,0,1,1,1,2652,2689,0,506,2871,,,,0,1,1
6506262757,Amirkhanyan A.A.,2,984,990,,,,,,,,,,2,1170,1179,0,510,1457,,,,0,2,2,2,1164,1173,0,506,1447,,,,0,2,2
6506265295,Wampler B.,1,2190,2216,,,,,,,,,,1,2703,2742,0,510,2928,,,,0,1,1,1,2652,2690,0,506,2872,,,,0,1,1
