scopus_id,doi,year,journal,title,sample_us_label,evidence_field,evidence_quote,rationale,us_and_non_us_samples_reported,title_only_us_signal,title_evidence,separate_us_sample_count_stated,separate_sample_count_quote,abstract_sha256,reviewer,reviewer_type,review_date,human_validated,top40_authids,article_url
84931077293,10.1111/puar.12406,2016,Public Administration Review,Interpreting Performance Information: Motivated Reasoning or Unbiased Comprehension,unclear,abstract,,No sample country or country-specific context.,false,false,,,,903279b3242ba9ff6baff7c2aca90b2bf89701492e09304cdbbe392890c21d0b,Codex (GPT-6),AI_assisted,2026-09-08,false,35309171200,https://doi.org/10.1111/puar.12406
84941353207,10.1080/10584609.2015.1055526,2016,Political Communication,Elite Polarization and Public Opinion: How Polarization Is Communicated and Its Effects,us_inferred,abstract,American politics,Experiments follow analysis of US partisan polarization; sample location unstated.,false,false,,,,3a6072976b3ec3949ce9a31de578cd04f0d0cc7843b7c0579e967fef77a183ab,Codex (GPT-6),AI_assisted,2026-09-08,false,37063497400,https://doi.org/10.1080/10584609.2015.1055526
84944232504,10.1016/j.ssresearch.2015.09.004,2016,Social Science Research,From the general to the specific: How social trust motivates relational trust,unclear,abstract,,MTurk and university students do not establish country.,false,false,,,,42c579f0a031ded2b4658ad5d029aad0fcf2c56f2e4820315f2b6c8b8b7bc460,Codex (GPT-6),AI_assisted,2026-09-08,false,36775562800,https://doi.org/10.1016/j.ssresearch.2015.09.004
84945162574,10.1080/17430437.2015.1096250,2016,Sport in Society,The influence of race on attitudes about college athletics,us_explicit,abstract,African-Americans,Abstract reports experimental results for African-American respondents.,false,false,,,,d68fe3544b30d5c7add23dc57b8a8ad7a19aa3af119fa17b5e322051e0d22398,Codex (GPT-6),AI_assisted,2026-09-08,false,6603696960,https://doi.org/10.1080/17430437.2015.1096250
84959343624,10.3390/rel7030021,2016,Religions,Remembering to ask the boss: Priming and the dynamics of priest reliance on bishop cues,us_explicit,abstract,national sample of US Catholic priests,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",false,false,,,,8632962834268599800e5922d3b35a3d6f6001e0753ecf6149f56c5b961e8a2a,Codex (GPT-6),AI_assisted,2026-09-08,false,24474160700,https://doi.org/10.3390/rel7030021
84959905263,10.1080/15348423.2015.1131041,2016,Journal of Media and Religion,Muslim Mistrust: The Resilience of Negative Public Attitudes after Complimentary Information,us_inferred,abstract,American electorate,National surveys address US electorate and Fox News; sampling location unstated.,false,false,,,,a2d728c1c3858ebc02b9676509acfa2bc4100713ad148b4b614772788f024bde,Codex (GPT-6),AI_assisted,2026-09-08,false,24474160700,https://doi.org/10.1080/15348423.2015.1131041
84963994831,10.1080/10967494.2016.1143425,2017,International Public Management Journal,"How Citizens Respond to Outputs, Outcomes, and Costs: A Survey Experiment About an HIV/AIDS Program",unclear,abstract,,HIV programme without sample location.,false,false,,,,a0cfbab4c7858f25b0b90a265f473e38cc186166ce34749435b5390bd7ff9329,Codex (GPT-6),AI_assisted,2026-09-08,false,7003787305,https://doi.org/10.1080/10967494.2016.1143425
84967215008,10.1177/1065912916634897,2016,Political Research Quarterly,Who’s in Charge Here? Direct and Indirect Accusations and Voter Punishment of Corruption,non_us,abstract,nationally representative survey in Brazil,Study population or findings explicitly situated outside the US.,false,false,,,,fc71f009de379ea73a1c3f9a5d50b3eb198dd34d8a76a14aa97fe98661a6c534,Codex (GPT-6),AI_assisted,2026-09-08,false,35861891200,https://doi.org/10.1177/1065912916634897
84975459634,10.1016/j.gloenvcha.2016.06.001,2016,Global Environmental Change,Could more civil society involvement increase public support for climate policy-making? Evidence from a survey experiment in China,non_us,abstract,survey experiment in China,Study population or findings explicitly situated outside the US.,false,false,,,,6094b329b8c5c6448582788520ec92696c581fa34ce88fc3c18165386190b3e0,Codex (GPT-6),AI_assisted,2026-09-08,false,6602110388,https://doi.org/10.1016/j.gloenvcha.2016.06.001
84975770291,10.1177/0894439314563916,2016,Social Science Computer Review,Improving Survey Response Rates in Online Panels: Effects of Low-Cost Incentives and Cost-Free Text Appeal Interventions,unclear,abstract,,Online panel location unstated.,false,false,,,,60070733b628b6ec604ea36d1fc9ceffb3690d0a11f4f3c5d22e8b4aeed34930,Codex (GPT-6),AI_assisted,2026-09-08,false,56734108300,https://doi.org/10.1177/0894439314563916
84975789795,10.1038/nclimate2948,2016,Nature Climate Change,Simple reframing unlikely to boost public support for climate policy,unclear,abstract,,Global climate topic does not identify sample country.,false,false,,,,dbe4df603dad02853f0a31b7009a4b74fe012075d896fdff352ecedff09d00f7,Codex (GPT-6),AI_assisted,2026-09-08,false,6602110388,https://doi.org/10.1038/nclimate2948
84977676153,10.1111/pbaf.12091,2016,Public Budgeting and Finance,Causes of Fiscal Illusion: Lack of Information or Lack of Attention?,unclear,abstract,,No sample country or country-specific context.,false,false,,,,0610cf3f1942cb72f0bbc2310c18787d3fa200799221be28336c0028e3b53fda,Codex (GPT-6),AI_assisted,2026-09-08,false,35309171200,https://doi.org/10.1111/pbaf.12091
84978085703,10.1080/03050629.2016.1200572,2017,International Interactions,"Seeing the Lexus for the Olive Trees? Public Opinion, Economic Interdependence, and Interstate Conflict",non_us,abstract,respondents in Japan,Study population or findings explicitly situated outside the US.,false,false,,,,3d809ee27ec20abb7f100b3741495de9b7b3ff9a796734beebaabccd031fdf96,Codex (GPT-6),AI_assisted,2026-09-08,false,57205672554,https://doi.org/10.1080/03050629.2016.1200572
84978906427,10.1177/1369148116632181,2016,British Journal of Politics and International Relations,The elasticity of reality and British support for the war in Afghanistan,non_us,abstract,among Britons,Study population or findings explicitly situated outside the US.,false,false,,,,b159505dda97095e2bf9764af857df8e7a5894e4fa89cceeb92fa519c9dbb603,Codex (GPT-6),AI_assisted,2026-09-08,false,12767146800,https://doi.org/10.1177/1369148116632181
84980034387,10.1080/14719037.2016.1210905,2017,Public Management Review,Rational planning and politicians’ preferences for spending and reform: replication and extension of a survey experiment,non_us,abstract,Flemish city councillors,Belgian local politicians.,false,false,,,,7e55445f6b00a328592161cd6e9ca69680bfaa1e16eb5c6e7b3107a7617a49ab,Codex (GPT-6),AI_assisted,2026-09-08,false,35309171200,https://doi.org/10.1080/14719037.2016.1210905
84983314158,10.1177/0190272516657546,2016,Social Psychology Quarterly,"Probing the Links Between Trustworthiness, Trust, and Emotion: Evidence From Four Survey Experiments",unclear,abstract,,MTurk and university students do not establish country.,false,false,,,,8efbcb1c52f51a95082d9f584c3b23903e6f6e905cf60efeb78382bd05bff807,Codex (GPT-6),AI_assisted,2026-09-08,false,36775562800,https://doi.org/10.1177/0190272516657546
84989282236,10.1027/1864-9335/a000279,2016,Social Psychology,Majority members' feelings about political representation of muslim immigrants,non_us,abstract,national samples of the native Dutch,Study population or findings explicitly situated outside the US.,false,false,,,,f81aa7998b2ea095784e01dc94644bf58a18ef53bc98d5e8bdd26ff2a02b718d,Codex (GPT-6),AI_assisted,2026-09-08,false,7006059165,https://doi.org/10.1027/1864-9335/a000279
84992341283,10.1080/09644016.2016.1244964,2017,Environmental Politics,Do global climate summits influence public awareness and policy preferences concerning climate change?,unclear,abstract,,Global climate summit does not identify sample country.,false,false,,,,5c4f81fa999a8a12a5e220b94da137e63d002e24a55964623786900000e587f9,Codex (GPT-6),AI_assisted,2026-09-08,false,6602110388,https://doi.org/10.1080/09644016.2016.1244964
84992655159,10.1177/0738894215581330,2016,Conflict Management and Peace Science,The microfoundations of territorial disputes: Evidence from a survey experiment in Japan,non_us,abstract,experimental approach within Japan,Study population or findings explicitly situated outside the US.,false,false,,,,0b2be4da9d04c6f1c995ef485ae6c3df51e670920c28619d130052b66098c1e1,Codex (GPT-6),AI_assisted,2026-09-08,false,57205672554,https://doi.org/10.1177/0738894215581330
84995444937,10.1177/0022343316657405,2016,Journal of Peace Research,"International law, military effectiveness, and public support for drone strikes",us_explicit,abstract,nationally representative sample of the United States,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",false,false,,,,90b12194050fad584247fc23e783c33c6f83cb77c412a3691588f53880aa611d,Codex (GPT-6),AI_assisted,2026-09-08,false,35725744600,https://doi.org/10.1177/0022343316657405
84995578409,10.1111/ajps.12262,2017,American Journal of Political Science,Constitutional Qualms or Politics as Usual? The Factors Shaping Public Support for Unilateral Action,us_explicit,abstract,we examine the extent to which Americans,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",false,false,,,,595855da9e8b8d72325b2a76cfc90d5b4658cf9907bd314b50f178a315ddfff7,Codex (GPT-6),AI_assisted,2026-09-08,false,12767146800,https://doi.org/10.1111/ajps.12262
85003864913,10.1088/1748-9326/11/11/114001,2016,Environmental Research Letters,Measuring and explaining the willingness to pay for forest conservation: Evidence from a survey experiment in Brazil,non_us,abstract,nationwide survey experiment in Brazil,Study population or findings explicitly situated outside the US.,false,false,,,,eb2e6aa7e0df31096f4ec5ae0e57245c1726be51b551e2a23b82588ff03651f0,Codex (GPT-6),AI_assisted,2026-09-08,false,6602110388,https://doi.org/10.1088/1748-9326/11/11/114001
85012118612,10.1175/WCAS-D-16-0012.1,2017,Weather Climate and Society,The conditional nature of the local warming effect,unclear,abstract,,No country-specific sampling information.,false,false,,,,3c59dcb80949b9243008d9622a6a83512e753d2cd9abb391a2583b44619a9b4a,Codex (GPT-6),AI_assisted,2026-09-08,false,6603696960,https://doi.org/10.1175/WCAS-D-16-0012.1
