scopus_id,doi,year,source_id,journal,title,identity,all_scopus_ids,previous_revised,labels,concepts,exposure,exposure_human,stage,stratum,stratum_N,stratum_n,selection_hash
105025104754,10.1002/aaai.70046,2025,23629,AI Magazine,AI for social science: A sociology PhD candidate's autoethnography on how LLMs are changing research work,doi:10.1002/aaai.70046,105025104754,false,false,true,false,false,development,concepts_beyond_exposure,56812,40,00000385743b8e83b5f4790b9a0e3e684fb89a6ca71c0f833ed34cc8049a3e49
84981287718,10.1093/cercor/bhv174,2016,14855,Cerebral Cortex,Predicting Subjective Affective Salience from Cortical Responses to Invisible Object Stimuli,doi:10.1093/cercor/bhv174,84981287718,false,false,true,false,false,development,concepts_beyond_exposure,56812,40,00003abdcc94e53223a2b3a6782009a5efcdb1fc8d3499778b96650c2a502e81
85053392045,10.18865/ed.28.s2.437,2018,13198,Ethnicity and Disease,Voices from minority youth on help-seeking and barriers to mental health services: Partnering with school-based health centers,doi:10.18865/ed.28.s2.437,85053392045,false,false,true,false,false,development,concepts_beyond_exposure,56812,40,0001608c6679daaafa319ab58eabd6066628ee3ac8221e919013c6a2d1290e8e
105045298597,10.1186/s12888-026-08066-1,2026,14260,BMC Psychiatry,Perinatal mental health and its social determinants: qualitative findings from rural Telangana,doi:10.1186/s12888-026-08066-1,105045298597,false,false,true,false,false,development,concepts_beyond_exposure,56812,40,0002f7d4c166e1f270b6e014fbccc3bf519ac733285f694f68d364a3f4944a48
85108963478,10.1037/xap0000362,2022,15476,Journal of Experimental Psychology Applied,Improving the Interpretation of Verbal Eyewitness Confidence Statements by Distinguishing Perceptions of Certainty From Those of Accuracy,doi:10.1037/xap0000362,85108963478,false,false,true,false,false,development,concepts_beyond_exposure,56812,40,00036c23c3bc4e060d21f2b899eee6ae38bcb417d54cad4bd4e96f64437b48da
105030252190,10.1080/0163853x.2026.2619824,2026,25989,Discourse Processes,Disentangling local versus global processing dispositions in autistic cognition using item response theory models: comparing multimodal comics versus text-based narratives in a randomized study,doi:10.1080/0163853x.2026.2619824,105030252190,false,false,true,false,false,development,concepts_beyond_exposure,56812,40,000446d4959d21c1d8031d3a731e3cfbf5212b1179addec8d05d42bc87eccfa2
105022922243,10.3390/s25226895,2025,130124,Sensors,Multimodal Optimal Base Station Selection Network for Intelligent Communications,doi:10.3390/s25226895,105022922243,false,false,true,false,false,development,concepts_beyond_exposure,56812,40,000478106453dde12f64bbbee8ccbdcfbf05f117c0fa7f899ff213ffbb4c2a89
85096207237,10.3390/ijerph17228416,2020,144989,International Journal of Environmental Research and Public Health,Exploring daily activity patterns on the typical day of older adults for supporting aging-in-place in china’s rural environment,doi:10.3390/ijerph17228416,85096207237,false,false,true,false,false,development,concepts_beyond_exposure,56812,40,0004e5e34d625f9c47293d617e9c31e92b8657c0cef269ba157653bb69a92dcc
79952072848,10.1016/j.neuroimage.2010.12.072,2011,17495,Neuroimage,Error-related medial frontal theta activity predicts cingulate-related structural connectivity,doi:10.1016/j.neuroimage.2010.12.072,79952072848,false,false,true,false,false,development,concepts_beyond_exposure,56812,40,00055fb0443b217eb3ed4bed0b6c2f34f53fd6d52739781f86470e2d4496a0e1
85060790517,10.1093/chemse/bjy080,2019,23377,Chemical Senses,"Necessary conditions for social transmission of food preference through feces in the house mouse, mus musculus domesticus",doi:10.1093/chemse/bjy080,85060790517,false,false,true,false,false,development,concepts_beyond_exposure,56812,40,0005aa782cc0067fea226f7125ed9b5820ffc6d9271e8461f466be52348a6a06
