scopus_id,doi,normalized_title_sha256,reasons
,10.1007/s11109-026-10165-4,a0c39e9e85e9174ec6dca11882e4b39196c2cf37138a9b01ff3e567fd4c99051,user_nominated_challenge_cases
,10.1037/pspi0000493,fa027c860e9b7280291c41957bb43bbabf84867eb4cd6c685deeb05218cef762,user_nominated_challenge_cases
,10.1037/xge0000465,59c1fb00d338fdd5bf49625250d9843386f878ac7c6d43fba51a1ea30165706d,user_nominated_challenge_cases
,10.1038/s41562-024-02023-2,f3e226c6a636627babcacff67906f267981e59093726b136e368ad8c7a708628,user_nominated_challenge_cases
,10.1038/s41586-021-03344-2,4b2f8ba8abfcbeebd377280fb5ff77fd8d649feb4be33066cf24e5e20337ec90,user_nominated_challenge_cases
,10.1073/pnas.1706253114,6969f05aa055d39738acfc3f0ad8abd24afa8af04235ad79a0e18a640a63b39b,user_nominated_challenge_cases
,10.1073/pnas.2020043118,7c5e8ea90c93eb7e1caceb0db4f6ba8010d297794ae0ef835c95d477b0e2997c,user_nominated_challenge_cases
,10.1073/pnas.2108875118,8aab0c378cbbf442878b34f1438d570baf6dc90df4d5549db179e0da9d481092,user_nominated_challenge_cases
,10.1177/0146167214524993,ee2901e33eb57ffcb1645a65689ffc95933bd43296beb1b21fccf3a11695c37b,user_nominated_challenge_cases
,10.1177/0146167220942625,c5d7bc0cd9f27c48609c82ae5c1641243f650bf5f3b72057a10f50716b65eefb,user_nominated_challenge_cases
,10.1177/0956797614527113,aff59896778e6f347a0104004c7916015826964812e86a6b347913dd1dda3391,user_nominated_challenge_cases
,10.1177/0956797620939054,c4a331d146a85426c4a9db9b5f16c50f83d7fa36cad552d27f6618d5b71c1ab6,user_nominated_challenge_cases
,10.1177/13684302211052516,ad7665dad09b978126a2f7908088e2d850cc3b0fdfee58d65e20e1653b914fec,user_nominated_challenge_cases
,10.1177/1948550619867940,4b01b4b8296ac076d73d73e3a2ad73489e083ab360a3f6c89c58c23e4c54de87,user_nominated_challenge_cases
